ELEMENT,HOLE,X,Y
RIM,R1,-38.93642289,-10.11926029
RIM,R1,-39.02237332,-10.15304122
RIM,R1,-39.10883253,-10.18609079
RIM,R1,-39.19187131,-10.26824854
RIM,R1,-39.28325223,-10.24997062
RIM,R1,-39.38218878,-10.10112416
RIM,R1,-39.46617325,-10.18602125
RIM,R1,-39.56053467,-10.06541083
RIM,R1,-39.64926006,-10.04387781
RIM,R1,-39.73823052,-9.99657325
RIM,R1,-39.82460332,-10.04846934
RIM,R1,-39.91208015,-10.07461637
RIM,R1,-40,-10.2
RIM,R1,-40.08944699,-10.24960971
RIM,R1,-40.17626931,-10.09846172
RIM,R1,-40.26635045,-10.17151328
RIM,R1,-40.35946482,-10.29372552
RIM,R1,-40.45037017,-10.31517289
RIM,R1,-40.53382675,-10.18602125
RIM,R1,-40.62422132,-10.20592831
RIM,R1,-40.70454038,-10.07539691
RIM,R1,-40.78851391,-10.0190192
RIM,R1,-40.88463079,-10.11137619
RIM,R1,-40.97523053,-10.12815632
RIM,R1,-41.07141675,-10.19384943
RIM,R1,-41.17165326,-10.28346871
RIM,R1,-41.24916077,-10.17359805
RIM,R1,-41.33463032,-10.13752371
RIM,R1,-41.40912765,-10.0264642
RIM,R1,-41.50396076,-10.06323641
RIM,R1,-41.5799881,-9.97565224
RIM,R1,-41.66285463,-9.936827435
RIM,R1,-41.73648178,-9.84807753
RIM,R1,-41.84057881,-9.930874566
RIM,R1,-41.9367113,-9.963515912
RIM,R1,-42.01860034,-9.921737634
RIM,R1,-42.13109483,-10.02601291
RIM,R1,-42.24015,-10.10466367
RIM,R1,-42.31699586,-10.03601167
RIM,R1,-42.39281498,-9.966791684
RIM,R1,-42.46155529,-9.872759015
RIM,R1,-42.55387604,-9.875105932
RIM,R1,-42.64642474,-9.876591574
RIM,R1,-42.75255527,-9.925393668
RIM,R1,-42.83217383,-9.876963926
RIM,R1,-42.87423529,-9.703255717
RIM,R1,-42.98219139,-9.754308511
RIM,R1,-43.02961093,-9.608698279
RIM,R1,-43.10562079,-9.558117989
RIM,R1,-43.17304656,-9.483236552
RIM,R1,-43.27195995,-9.502461685
RIM,R1,-43.36310411,-9.497113023
RIM,R1,-43.48860546,-9.584864732
RIM,R1,-43.58962566,-9.60088994
RIM,R1,-43.61951629,-9.429162308
RIM,R1,-43.72914998,-9.466998754
RIM,R1,-43.85844791,-9.549993702
RIM,R1,-43.95120644,-9.539056173
RIM,R1,-43.98545751,-9.389149505
RIM,R1,-44.07720923,-9.376939261
RIM,R1,-44.1080401,-9.226809122
RIM,R1,-44.16766709,-9.145110772
RIM,R1,-44.28957536,-9.199024038
RIM,R1,-44.38045041,-9.183805268
RIM,R1,-44.49330425,-9.212638975
RIM,R1,-44.61814737,-9.262570643
RIM,R1,-44.65340262,-9.132816873
RIM,R1,-44.72137957,-9.069685769
RIM,R1,-44.75339957,-8.939844378
RIM,R1,-44.85509039,-8.941964121
RIM,R1,-44.89657716,-8.833659042
RIM,R1,-44.96116737,-8.768833637
RIM,R1,-45,-8.660254038
RIM,R1,-45.12613747,-8.70245452
RIM,R1,-45.22763646,-8.700248102
RIM,R1,-45.29029797,-8.632981664
RIM,R1,-45.43167246,-8.692492986
RIM,R1,-45.56105095,-8.729101464
RIM,R1,-45.60978206,-8.63830685
RIM,R1,-45.6573541,-8.547329676
RIM,R1,-45.68978779,-8.435457301
RIM,R1,-45.77734362,-8.406087124
RIM,R1,-45.86481906,-8.375829653
RIM,R1,-45.98124044,-8.385389839
RIM,R1,-46.03949347,-8.312649617
RIM,R1,-46.0196066,-8.135031429
RIM,R1,-46.13851324,-8.146082202
RIM,R1,-46.1332714,-7.993034903
RIM,R1,-46.18739783,-7.919508074
RIM,R1,-46.22514637,-7.826081569
RIM,R1,-46.32466993,-7.810316913
RIM,R1,-46.40848807,-7.774117678
RIM,R1,-46.55643362,-7.81365332
RIM,R1,-46.6568425,-7.794161147
RIM,R1,-46.62619619,-7.62256676
RIM,R1,-46.74215899,-7.620624459
RIM,R1,-46.89204525,-7.654391702
RIM,R1,-46.97546889,-7.612388503
RIM,R1,-46.95638327,-7.459807757
RIM,R1,-47.03842554,-7.416952944
RIM,R1,-47.01604954,-7.265331983
RIM,R1,-47.04413811,-7.168167014
RIM,R1,-47.17713383,-7.177133829
RIM,R1,-47.25732332,-7.131751764
RIM,R1,-47.37323295,-7.120248297
RIM,R1,-47.50762474,-7.124469858
RIM,R1,-47.49637544,-6.990483191
RIM,R1,-47.53866077,-6.907909873
RIM,R1,-47.52434136,-6.774947389
RIM,R1,-47.62062446,-6.742158991
RIM,R1,-47.62256676,-6.626196193
RIM,R1,-47.6610901,-6.543189087
RIM,R1,-47.66044443,-6.427876097
RIM,R1,-47.79340829,-6.424390025
RIM,R1,-47.88803151,-6.387601969
RIM,R1,-47.92390759,-6.302960696
RIM,R1,-48.07711022,-6.310530122
RIM,R1,-48.21120707,-6.30068079
RIM,R1,-48.22594575,-6.198694738
RIM,R1,-48.23953282,-6.096933564
RIM,R1,-48.23174792,-5.980714942
RIM,R1,-48.30397829,-5.923170148
RIM,R1,-48.37582965,-5.864819062
RIM,R1,-48.48849974,-5.83398424
RIM,R1,-48.51836106,-5.745707083
RIM,R1,-48.43892452,-5.585602291
RIM,R1,-48.55443979,-5.555318157
RIM,R1,-48.49716882,-5.413293554
RIM,R1,-48.52288337,-5.325688606
RIM,R1,-48.52640164,-5.224985647
RIM,R1,-48.61453137,-5.176132653
RIM,R1,-48.68091379,-5.113449007
RIM,R1,-48.83345912,-5.1
RIM,R1,-48.92114588,-5.047341491
RIM,R1,-48.83365904,-4.896577164
RIM,R1,-48.94196412,-4.855090386
RIM,R1,-49.09436021,-4.835557097
RIM,R1,-49.15838685,-4.767554432
RIM,R1,-49.08826655,-4.630703097
RIM,R1,-49.15070385,-4.562372639
RIM,R1,-49.07781987,-4.427548583
RIM,R1,-49.07098211,-4.326636523
RIM,R1,-49.19902404,-4.289575357
RIM,R1,-49.25885593,-4.219503744
RIM,R1,-49.36384094,-4.169050592
RIM,R1,-49.49157177,-4.127052863
RIM,R1,-49.43517475,-4.004994067
RIM,R1,-49.44666822,-3.912938096
RIM,R1,-49.38773653,-3.792891758
RIM,R1,-49.46699875,-3.729149982
RIM,R1,-49.42916231,-3.61951629
RIM,R1,-49.43697231,-3.528339366
RIM,R1,-49.39692621,-3.420201433
RIM,R1,-49.52067906,-3.371449278
